,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Cost_of_the_Product_tr,Discount_offered_tr,Customer_care_calls_tr,Weight_in_gms_tr,Prior_purchases_tr,Discount_offered_log,Prior_purchases_log,cust_call_std,cust_rating_std,prior_purchase_std,product_cost_norm,discount_norm,weight_norm,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Cost_Per_Weight,Cost_After_Disc,Weight_level
0,177,3,0,0,44,1233,1,-0.5452441858688841,1.2924648930969886,0.03136936165920781,-1.4648838707304677,-0.21106976491595747,3.784189633918261,1.0986122886681098,-0.04771131501848488,-0.7007550966049262,-0.2555787579124929,0.37850467289719625,0.9065257699515907,0.03389335281227174,0,0,1,0,0,0,0.1435523114355231,133,
1,216,2,0,1,59,3088,1,0.01881964145130391,1.9028734734462218,0.03136936165920781,-0.2981548977951625,-5.199337582605575,4.07753744390572,0.6931471805599453,-0.04771131501848488,1.4215777095146467,-1.3232889455930834,0.5607476635514018,0.9767990318750809,0.3048940832724616,0,0,0,1,0,0,0.06994818652849741,157,
2,183,4,0,1,48,3374,1,-0.4486922810995351,1.4215561053091323,-5.199337582605575,-0.2418873755179341,0.5063476573610789,3.871201010907891,1.3862943611198906,-1.7998874548793105,-0.7007550966049262,0.5019736761378665,0.40654205607476634,0.9273698774490261,0.3466764061358656,0,0,0,0,0,0,0.05423829282750445,135,
3,176,4,1,1,10,1177,1,-0.5627963389464199,0.5834958357204678,-0.8266977298382984,-1.6067550689692431,0.5063476573610789,2.302585092994046,1.3862943611198906,-0.9237993849488977,0.006689172101598107,0.5019736761378665,0.3738317757009346,0.5515983410546412,0.02571219868517166,1,0,0,0,0,0,0.14953271028037382,166,
4,184,3,1,0,46,2484,1,-0.43210422284237443,1.352622764219689,-5.199337582605575,-0.426944957034321,-0.21106976491595747,3.828641396489095,1.0986122886681098,-1.7998874548793105,-0.7007550966049262,-0.2555787579124929,0.4112149532710281,0.9171744615311684,0.216654492330168,0,1,0,0,0,0,0.07407407407407407,138,
5,162,3,1,0,12,1417,1,-0.8179015356232606,0.7282403553007382,-0.8266977298382984,-1.1465082436145289,-0.21106976491595747,2.4849066497880004,1.0986122886681098,-0.9237993849488977,-1.4081993653114504,-0.2555787579124929,0.30841121495327106,0.5952745850171504,0.06077428780131483,0,0,0,1,0,0,0.11432604093154553,150,
6,250,3,0,0,3,2371,1,0.6533766109715351,-0.8753538882544654,-0.8266977298382984,-0.45241329088436794,-0.21106976491595747,1.0986122886681098,1.0986122886681098,-0.9237993849488977,0.7141334408081224,-0.2555787579124929,0.7196261682242991,0.26317929258527467,0.20014609203798392,0,0,1,0,0,0,0.10544074230282581,247,
7,233,2,0,0,48,2804,1,0.29529600540403106,1.4215561053091323,0.03136936165920781,-0.3548222977134121,-5.199337582605575,3.871201010907891,0.6931471805599453,-0.04771131501848488,-1.4081993653114504,-1.3232889455930834,0.6401869158878505,0.9273698774490261,0.2634039444850256,0,0,0,1,0,0,0.08309557774607704,185,
8,150,3,0,0,11,1861,1,-1.1117020775386441,0.7103655549160232,-0.8266977298382984,-0.6549304836891207,-0.21106976491595747,2.3978952727983707,1.0986122886681098,-0.9237993849488977,0.7141334408081224,-0.2555787579124929,0.25233644859813087,0.5744304775197152,0.12563915266617967,0,0,0,0,0,0,0.08060182697474476,139,
9,164,3,1,0,29,1187,1,-0.7765277585872264,0.9917462545024419,-0.8266977298382984,-1.5712864975769105,-0.21106976491595747,3.367295829986474,1.0986122886681098,-0.9237993849488977,-0.7007550966049262,-0.2555787579124929,0.31775700934579443,0.8066563096026927,0.027173119065010964,1,0,0,0,0,0,0.13816343723673125,135,
10,189,2,1,1,12,2888,1,-0.3561586966887801,0.7282403553007382,-0.8266977298382984,-0.33981248156467825,-5.199337582605575,2.4849066497880004,0.6931471805599453,-0.9237993849488977,0.7141334408081224,-1.3232889455930834,0.43457943925233644,0.5952745850171504,0.27567567567567564,0,1,0,0,0,0,0.06544321329639889,177,
11,232,3,1,0,32,3253,1,0.2756944187159562,1.0379371869749336,0.03136936165920781,-0.2650950648733125,-0.21106976491595747,3.4657359027997265,1.0986122886681098,-0.04771131501848488,1.4215777095146467,-0.2555787579124929,0.6355140186915887,0.8302382310796892,0.32899926953981007,0,0,0,1,0,0,0.071318782662158,200,
13,275,3,2,1,29,2602,1,1.5500849779020571,0.9917462545024419,0.03136936165920781,-0.4025429852917868,-0.21106976491595747,3.367295829986474,1.0986122886681098,-0.04771131501848488,0.7141334408081224,-0.2555787579124929,0.836448598130841,0.8066563096026927,0.23389335281227172,0,0,0,1,0,0,0.10568793235972329,246,
14,152,3,0,1,43,1009,1,-1.053106263987631,1.2640663695358172,0.03136936165920781,-2.7474533072977243,-0.21106976491595747,3.7612001156935624,1.0986122886681098,-0.04771131501848488,0.006689172101598107,-0.2555787579124929,0.26168224299065423,0.9010184902627867,0.0011687363038714316,0,0,0,0,0,0,0.1506442021803766,109,
15,227,3,0,0,45,2707,1,0.1969791629904471,1.324957688892978,0.03136936165920781,-0.3816746537655626,-0.21106976491595747,3.8066624897703196,1.0986122886681098,-0.04771131501848488,0.006689172101598107,-0.2555787579124929,0.6121495327102803,0.9119092800092526,0.24923301680058438,1,0,0,0,0,0,0.08385666789804211,182,
16,143,2,1,0,6,1194,1,-1.3129814789733738,-0.21106976491595747,-0.8266977298382984,-1.5502098724482711,-5.199337582605575,1.791759469228055,0.6931471805599453,-0.9237993849488977,0.7141334408081224,-1.3232889455930834,0.21962616822429903,0.4292269388012125,0.02819576333089846,0,1,0,0,0,0,0.11976549413735343,137,
17,227,3,1,1,36,3952,1,0.1969791629904471,1.114032451080225,0.7714496755296387,-0.1166857420429287,-0.21106976491595747,3.58351893845611,1.0986122886681098,0.828376754911928,1.4215777095146467,-0.2555787579124929,0.6121495327102803,0.858453877602425,0.4311176040905771,0,0,0,1,0,1,0.05743927125506073,191,
18,239,3,2,1,18,2495,1,0.40607882375069193,0.8144007390200398,0.7714496755296387,-0.42405319585555773,-0.21106976491595747,2.8903717578961645,1.0986122886681098,0.828376754911928,1.4215777095146467,-0.2555787579124929,0.6682242990654205,0.6924062313864872,0.21826150474799125,0,0,1,0,0,1,0.09579158316633267,221,
